id,home_type,address,price,area,num_of_rooms,has_kitchen_annex,construction_year,transport_dist,parking_spots,for_sale,is_primary_market,floor / garden area,has_elevator / num_of_floors,neighbourhood,web_path
36,apartment,Dabrowskiego,3600,55,3,TRUE,2020,200,0,FALSE,FALSE,1,TRUE,Jezyce,"https://poznan.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26143026.html"
37,apartment,Grunwaldzka,1999,41,2,TRUE,2009,300,0,FALSE,FALSE,2,TRUE,Grunwald,"https://poznan.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26273696.html"
38,apartment,Jackowskiego,2999,50,3,TRUE,2022,500,0,FALSE,FALSE,3,TRUE,Jezyce,"https://poznan.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/26292185.html"
39,apartment,Wielka,3500,72,2,FALSE,1920,300,0,FALSE,FALSE,2,FALSE,Stare Miasto,"https://poznan.nieruchomosci-online.pl/mieszkanie,na-wynajem/26277800.html"
40,apartment,Batorego,2900,65,3,FALSE,2013,600,0,FALSE,FALSE,3,TRUE,Piatkowo,"https://poznan.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26231959.html"
41,apartment,Dolna Wilda,3300,68,3,FALSE,1990,400,0,FALSE,FALSE,1,FALSE,Wilda,"https://poznan.nieruchomosci-online.pl/mieszkanie,z-oddzielna-kuchnia/26314047.html"
42,apartment,Wlodkowica,2000,58,2,FALSE,1960,500,0,FALSE,FALSE,0,FALSE,Grunwald,"https://poznan.nieruchomosci-online.pl/mieszkanie,z-kuchnia-w-zabudowie/26311878.html"
43,apartment,Milczańska,2900,48,2,TRUE,2023,400,0,FALSE,FALSE,2,TRUE,Rataje,"https://poznan.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26095970.html"
44,house,Rzepeckiej,1390000,136,5,FALSE,2023,3100,1,TRUE,TRUE,200,2,Podolany,"https://poznan.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/25584565.html"
45,house,Junikowska,1350000,150,6,FALSE,1995,800,1,TRUE,FALSE,600,2,Grunwald,"https://poznan.nieruchomosci-online.pl/umeblowany,dom-wolnostojacy/26285290.html"
46,house,Czarna Droga,2700000,300,8,TRUE,1995,400,1,TRUE,FALSE,250,3,Winogrady,"https://poznan.nieruchomosci-online.pl/dom-wolnostojacy,przy-lesie/26231422.html"
47,house,Dabrowskiego,2450000,508,8,FALSE,1970,2200,1,TRUE,FALSE,940,3,Jezyce,"https://poznan.nieruchomosci-online.pl/dom-wolnostojacy,z-garazem/26308314.html"
48,house,Jezyce,1774000,204,6,FALSE,2004,4000,1,TRUE,FALSE,860,2,Jezyce,"https://poznan.nieruchomosci-online.pl/dom-wolnostojacy,nad-jeziorem/26329164.html"
49,house,Trybunalska,3250000,245,6,FALSE,2026,300,1,TRUE,FALSE,335,2,Grunwald,"https://poznan.nieruchomosci-online.pl/dom,na-sprzedaz/26042312.html"
